"Timestamp","The 1st set of images are generated based on the two images below. (You don't have to response to this qns)","Which cat looks the best?","The 2nd set of images are generated based on the two images below. (You don't have to response to this qns)","Which Jay looks the best?","The 3rd set of images are generated based on the two images below. (You don't have to response to this qns)","Which Merlion looks the best?","The 4th set of images are generated based on the two images below. (You don't have to response to this qns)","Which shophouses look the best?","The 5th set of images are generated based on the two images below. (You don't have to response to this qns)","Which mountain looks the best?"
"2020/03/09 1:11:39 PM GMT+8","","Option 3","","Option 3","","Option 3","","Option 1","","Option 1"
"2020/03/09 1:12:45 PM GMT+8","Content Image","Option 1","","Option 2","","Option 1","","Option 2","","Option 2"
"2020/03/09 1:12:50 PM GMT+8","","Option 3","","Option 2","","Option 3","","Option 3","","Option 2"
"2020/03/09 1:13:50 PM GMT+8","","Option 3","","Option 2","","Option 3","","Option 3","","Option 2"
"2020/03/09 1:16:42 PM GMT+8","","Option 3","","Option 1","","Option 3","","Option 1","","Option 3"
"2020/03/09 1:17:59 PM GMT+8","Content Image","Option 3","Content Image","Option 3","Style Image","Option 3","Content Image","Option 1","Style Image","Option 1"
"2020/03/09 1:18:21 PM GMT+8","","Option 3","Content Image","Option 3","","Option 3","","Option 3","","Option 1"
"2020/03/09 1:19:54 PM GMT+8","","Option 3","","Option 2","","Option 2","","Option 3","","Option 2"
"2020/03/09 1:20:42 PM GMT+8","Content Image","Option 3","","Option 3","","Option 3","","Option 2","","Option 1"
"2020/03/09 1:22:07 PM GMT+8","Style Image","Option 2","","Option 1","","Option 3","","Option 2","","Option 2"
"2020/03/09 1:22:50 PM GMT+8","","Option 1","","Option 2","","Option 3","","Option 3","","Option 2"
"2020/03/09 1:26:21 PM GMT+8","","Option 3","","Option 2","","Option 3","","Option 2","","Option 2"
"2020/03/09 1:27:02 PM GMT+8","","Option 3","","Option 3","","Option 3","","Option 1","","Option 2"
"2020/03/09 1:29:52 PM GMT+8","Content Image","Option 3","","Option 1","Style Image","Option 1","Style Image","Option 3","Content Image","Option 1"
"2020/03/09 1:30:49 PM GMT+8","","Option 3","","Option 1","","Option 3","","Option 3","","Option 1"
"2020/03/09 1:31:12 PM GMT+8","","Option 2","","Option 2","","Option 2","","Option 3","","Option 2"
"2020/03/09 1:31:16 PM GMT+8","","Option 2","","Option 2","","Option 2","","Option 2","","Option 2"
"2020/03/09 1:33:08 PM GMT+8","","Option 3","","Option 2","","Option 3","","Option 3","","Option 2"
"2020/03/09 1:33:32 PM GMT+8","","Option 3","","Option 3","","Option 3","","Option 3","","Option 1"
"2020/03/09 1:34:50 PM GMT+8","","Option 3","","Option 3","","Option 1","","Option 1","","Option 1"
"2020/03/09 1:37:55 PM GMT+8","","Option 3","","Option 1","","Option 3","","Option 1","","Option 1"
"2020/03/09 1:40:05 PM GMT+8","","Option 3","","Option 2","","Option 1","","Option 1","","Option 1"
"2020/03/09 1:41:23 PM GMT+8","","Option 1","","Option 2","","Option 1","","Option 1","","Option 1"
"2020/03/09 1:46:50 PM GMT+8","","Option 1","","Option 1","","Option 3","","Option 1","","Option 1"
"2020/03/09 1:48:41 PM GMT+8","","Option 3","","Option 3","","Option 3","","Option 3","","Option 2"
"2020/03/09 1:52:45 PM GMT+8","Style Image","Option 3","Content Image","Option 1","Content Image","Option 1","Content Image","Option 1","Content Image","Option 1"
"2020/03/09 1:54:56 PM GMT+8","Content Image","Option 3","","Option 3","","Option 1","","Option 1","","Option 1"
"2020/03/09 2:13:46 PM GMT+8","","Option 1","","Option 3","","Option 3","","Option 1","","Option 1"
"2020/03/09 2:22:47 PM GMT+8","","Option 1","","Option 3","","Option 1","","Option 3","","Option 2"
"2020/03/09 2:58:48 PM GMT+8","","Option 3","","Option 3","","Option 3","","Option 1","","Option 2"
"2020/03/09 6:00:54 PM GMT+8","","Option 1","","Option 2","","Option 2","","Option 1","","Option 1"
"2020/03/09 6:25:19 PM GMT+8","","Option 3","","Option 3","","Option 3","","Option 2","","Option 2"
"2020/03/09 8:26:09 PM GMT+8","Content Image","Option 3","","Option 2","","Option 3","","Option 1","","Option 2"
"2020/03/10 1:59:39 AM GMT+8","","Option 3","","Option 3","","Option 2","","Option 2","","Option 2"
"2020/03/10 9:59:17 AM GMT+8","","Option 3","","Option 3","","Option 3","","Option 1","","Option 1"
"2020/03/11 12:14:28 AM GMT+8","","Option 3","","Option 1","","Option 3","","Option 1","","Option 1"
"2020/03/11 11:54:54 AM GMT+8","","Option 3","","Option 1","","Option 1","","Option 1","","Option 2"